Designator,Mid X,Mid Y,Rotation,Layer
C1,104.673,-56.687,270.0,top
C2,104.673,-71.967,270.0,top
C3,125.623,-71.967,90.0,top
C4,136.713,-114.377,180.0,top
C5,149.1733,-138.127,0.0,top
C6,149.173,-121.627,0.0,top
C7,149.173,-129.127,0.0,top
C8,164.9675,-116.827,180.0,top
CN1,112.623,-120.002,180.0,top
D1,126.95,-116.827,180.0,top
IC1,155.27,-107.667,90.0,top
JP1,197.7975,-81.437,0.0,top
LED1,136.61,-120.487,180.0,top
LED2,171.755,-110.117,180.0,top
R1,132.923,-90.077,270.0,top
R10,110.063,-90.077,270.0,top
R11,107.523,-90.077,270.0,top
R12,104.983,-107.857,270.0,top
R13,121.493,-109.127,0.0,top
R14,190.843,-97.71,270.0,top
R15,121.853,-125.94,0.0,top
R16,132.013,-125.94,0.0,top
R17,125.68,-120.487,180.0,top
R18,169.393,-103.857,0.0,top
R2,130.383,-90.077,270.0,top
R3,127.843,-90.077,270.0,top
R4,125.303,-90.077,270.0,top
R5,122.763,-90.077,270.0,top
R6,120.223,-90.077,270.0,top
R7,117.683,-90.077,270.0,top
R8,115.143,-90.077,270.0,top
R9,112.603,-90.077,270.0,top
S0,115.273,-64.327,0.0,top
S1,139.0535,-64.327,0.0,top
S2,162.813,-65.597,0.0,top
S3,186.5725,-66.867,0.0,top
SW1,193.093,-107.577,90.0,top
SW2,155.26,-94.677,0.0,top
SW3,179.723,-107.577,0.0,top
U1,125.303,-104.047,270.0,top
U2,125.923,-132.877,0.0,top
U3,160.753,-131.597,0.0,top
